0.02;0.00;0.00;31.62;86.36;17.94;27673.33;34693.33;3.77;0.84;0.00;0.00;5.27;0.65;65.00;320.00;5.29;0.34;30.00;160.00;0.0
0.00;0.00;0.00;31.13;87.83;17.94;27625.83;34730.00;3.76;0.53;0.00;0.00;5.25;0.60;60.00;320.00;5.28;0.30;30.00;160.00;1.014
0.02;0.01;0.02;31.13;64.86;17.45;27695.83;34758.33;3.93;-0.01;0.00;0.00;5.23;0.60;60.00;320.00;5.27;0.34;34.00;160.00;2.028
0.00;0.00;0.00;31.13;69.75;17.45;27715.00;34792.50;3.76;0.63;0.00;0.00;5.25;0.61;61.00;320.00;5.29;0.29;29.00;160.00;3.043
0.00;0.01;0.01;31.13;92.23;18.43;27677.50;34745.00;3.95;0.94;0.00;0.00;5.21;0.62;62.00;320.00;5.25;0.35;35.00;200.00;4.057
0.02;0.02;0.02;31.13;80.99;17.94;27680.00;34793.33;3.85;0.16;0.00;0.00;5.22;0.66;66.00;360.00;5.27;0.31;31.00;160.00;5.072
0.00;0.00;0.01;31.62;66.81;17.45;27680.00;34815.83;3.75;0.93;0.00;0.00;5.23;0.61;61.00;320.00;5.22;0.31;31.00;160.00;6.086
0.00;0.00;0.01;31.62;83.43;17.94;27689.17;34725.83;3.92;0.92;0.00;0.00;5.20;0.61;61.00;320.00;5.27;0.29;29.00;160.00;7.101
0.00;0.00;0.00;31.62;90.27;18.43;27654.17;34712.50;3.78;0.94;0.00;0.00;5.22;0.61;61.00;320.00;5.23;0.29;29.00;160.00;8.115
0.02;0.02;0.02;31.62;66.32;17.94;27634.17;34719.16;3.78;0.39;0.00;0.00;5.22;0.60;60.00;360.00;5.25;0.30;30.00;160.00;9.129
0.02;0.01;0.01;32.11;70.23;17.94;27655.00;34759.16;3.93;0.89;0.00;0.00;5.20;0.60;60.00;320.00;5.23;0.29;29.00;160.00;10.144
0.02;0.01;0.02;32.11;92.23;18.43;27687.50;34802.50;3.94;0.02;0.00;0.00;5.16;0.67;67.00;360.00;5.23;0.31;31.00;160.00;11.158
0.00;0.00;0.00;32.11;85.87;18.43;27755.83;34842.50;3.75;0.81;0.00;0.00;5.19;0.59;59.00;320.00;5.22;0.29;29.00;140.00;12.174
0.00;0.00;0.00;32.11;66.81;17.45;27741.67;34849.16;3.92;0.91;0.00;0.00;5.19;0.61;61.00;320.00;5.21;0.30;30.00;200.00;13.187
0.00;0.00;0.00;32.60;80.50;18.43;27846.67;35005.00;3.91;0.92;0.00;0.00;5.14;0.59;59.00;300.00;5.21;0.31;31.00;160.00;14.202
0.00;0.00;0.00;32.60;91.74;18.91;27845.00;35041.66;3.76;0.51;0.00;0.00;5.16;0.69;69.00;320.00;5.22;0.33;33.00;160.00;15.216
0.00;0.01;0.01;32.60;73.17;17.94;27812.50;34930.83;3.94;0.87;0.00;0.00;5.17;0.60;60.00;300.00;5.19;0.29;29.00;160.00;16.23
0.02;0.02;0.02;32.60;68.77;17.45;27730.00;34826.66;3.95;0.32;0.00;0.00;5.17;0.60;60.00;300.00;5.21;0.30;29.00;160.00;17.245
0.02;0.02;0.00;32.60;90.76;17.94;27698.33;34859.16;3.79;0.85;0.00;0.00;5.15;0.64;64.00;320.00;5.18;0.32;29.00;160.00;18.259
0.02;0.02;0.02;33.09;89.78;17.94;27692.50;34888.33;3.94;0.02;0.00;0.00;5.11;0.60;60.00;300.00;5.19;0.32;32.00;160.00;19.273
